Edad,Sexo,Artritis,Numero
18-24,Female,No,0.9580036518563603
18-24,Female,Yes,0.041996348143639686
18-24,Male,No,0.976399770686031
18-24,Male,Yes,0.023600229313969042
25-29,Female,No,0.9242764821579095
25-29,Female,Yes,0.07572351784209047
25-29,Male,No,0.9539159503342884
25-29,Male,Yes,0.04608404966571156
30-34,Female,No,0.8925582952136561
30-34,Female,Yes,0.10744170478634386
30-34,Male,No,0.930797675647121
30-34,Male,Yes,0.06920232435287903
35-39,Female,No,0.8544419793575769
35-39,Female,Yes,0.14555802064242307
35-39,Male,No,0.8857310284207442
35-39,Male,Yes,0.1142689715792558
40-44,Female,No,0.8055877889850933
40-44,Female,Yes,0.19441221101490672
40-44,Male,No,0.8547921478060047
40-44,Male,Yes,0.14520785219399537
45-49,Female,No,0.7351818181818182
45-49,Female,Yes,0.26481818181818184
45-49,Male,No,0.7969502407704655
45-49,Male,Yes,0.2030497592295345
50-54,Female,No,0.665407156076496
50-54,Female,Yes,0.334592843923504
50-54,Male,No,0.7477120949789761
50-54,Male,Yes,0.252287905021024
55-59,Female,No,0.5977489768076398
55-59,Female,Yes,0.40225102319236017
55-59,Male,No,0.6880692847543677
55-59,Male,Yes,0.3119307152456324
60-64,Female,No,0.5249572750309388
60-64,Female,Yes,0.47504272496906125
60-64,Male,No,0.6237296912421516
60-64,Male,Yes,0.3762703087578484
65-69,Female,No,0.4860274287025879
65-69,Female,Yes,0.513972571297412
65-69,Male,No,0.5746236021740488
65-69,Male,Yes,0.42537639782595116
70-74,Female,No,0.43389688750821437
70-74,Female,Yes,0.5661031124917857
70-74,Male,No,0.5326510721247564
70-74,Male,Yes,0.4673489278752437
75-79,Female,No,0.40456140350877196
75-79,Female,Yes,0.5954385964912281
75-79,Male,No,0.5193981730252553
75-79,Male,Yes,0.48060182697474474
80+,Female,No,0.4149768360294676
80+,Female,Yes,0.5850231639705324
80+,Male,No,0.5203207381370826
80+,Male,Yes,0.47967926186291737
