Edad,Sexo,Depresion,Numero
18-24,Female,No,0.6522215459525259
18-24,Female,Yes,0.34777845404747415
18-24,Male,No,0.8154978024077967
18-24,Male,Yes,0.18450219759220332
25-29,Female,No,0.6434391683057038
25-29,Female,Yes,0.35656083169429614
25-29,Male,No,0.8164995224450812
25-29,Male,Yes,0.18350047755491883
30-34,Female,No,0.679348432444494
30-34,Female,Yes,0.32065156755550595
30-34,Male,No,0.8213417855256208
30-34,Male,Yes,0.1786582144743793
35-39,Female,No,0.6983698273367416
35-39,Female,Yes,0.3016301726632584
35-39,Male,No,0.826350229514601
35-39,Male,Yes,0.17364977048539895
40-44,Female,No,0.7115058466482193
40-44,Female,Yes,0.28849415335178075
40-44,Male,No,0.8426674364896074
40-44,Male,Yes,0.1573325635103926
45-49,Female,No,0.7137272727272728
45-49,Female,Yes,0.2862727272727273
45-49,Male,No,0.85553772070626
45-49,Male,Yes,0.14446227929373998
50-54,Female,No,0.7195404071560765
50-54,Female,Yes,0.2804595928439235
50-54,Male,No,0.8537389727100338
50-54,Male,Yes,0.1462610272899662
55-59,Female,No,0.7249658935879946
55-59,Female,Yes,0.27503410641200543
55-59,Male,No,0.8553083470210542
55-59,Male,Yes,0.1446916529789458
60-64,Female,No,0.7322765042135659
60-64,Female,Yes,0.26772349578643406
60-64,Male,No,0.8603793125768658
60-64,Male,Yes,0.1396206874231342
65-69,Female,No,0.7713318413955357
65-69,Female,Yes,0.22866815860446435
65-69,Male,No,0.8796776410320485
65-69,Male,Yes,0.12032235896795151
70-74,Female,No,0.793117868450923
70-74,Female,Yes,0.206882131549077
70-74,Male,No,0.8820662768031189
70-74,Male,Yes,0.11793372319688109
75-79,Female,No,0.8282456140350877
75-79,Female,Yes,0.17175438596491227
75-79,Male,No,0.9008060182697475
75-79,Male,Yes,0.09919398173025255
80+,Female,No,0.8898762056656794
80+,Female,Yes,0.11012379433432065
80+,Male,No,0.9305799648506151
80+,Male,Yes,0.06942003514938488
