Edad,Sexo,Otr.Canc,Numero
18-24,Female,No,0.9946439440048691
18-24,Female,Yes,0.005356055995130858
18-24,Male,No,0.9936938658513281
18-24,Male,Yes,0.00630613414867189
25-29,Female,No,0.9839842652430458
25-29,Female,Yes,0.0160157347569542
25-29,Male,No,0.9914040114613181
25-29,Male,Yes,0.008595988538681949
30-34,Female,No,0.9743389490126074
30-34,Female,Yes,0.025661050987392613
30-34,Male,No,0.9879556259904912
30-34,Male,Yes,0.012044374009508717
35-39,Female,No,0.9591974534580882
35-39,Female,Yes,0.04080254654191184
35-39,Male,No,0.9883777712667252
35-39,Male,Yes,0.011622228733274734
40-44,Female,No,0.9517093635633312
40-44,Female,Yes,0.04829063643666875
40-44,Male,No,0.9818129330254042
40-44,Male,Yes,0.018187066974595843
45-49,Female,No,0.9327272727272727
45-49,Female,Yes,0.06727272727272728
45-49,Male,No,0.9776284109149278
45-49,Male,Yes,0.02237158908507223
50-54,Female,No,0.9171807526218384
50-54,Female,Yes,0.08281924737816163
50-54,Male,No,0.9632286256080468
50-54,Male,Yes,0.03677137439195317
55-59,Female,No,0.8973396998635743
55-59,Female,Yes,0.10266030013642564
55-59,Male,No,0.9428848738241004
55-59,Male,Yes,0.05711512617589966
60-64,Female,No,0.8777771229889799
60-64,Female,Yes,0.1222228770110201
60-64,Male,No,0.9122273286296848
60-64,Male,Yes,0.08777267137031523
65-69,Female,No,0.8518391002467436
65-69,Female,Yes,0.14816089975325644
65-69,Male,No,0.871868557506091
65-69,Male,Yes,0.12813144249390893
70-74,Female,No,0.8230479718023777
70-74,Female,Yes,0.17695202819762232
70-74,Male,No,0.8208716235032024
70-74,Male,Yes,0.17912837649679755
75-79,Female,No,0.7971929824561403
75-79,Female,Yes,0.20280701754385966
75-79,Male,No,0.7745298226759807
75-79,Male,Yes,0.22547017732401933
80+,Female,No,0.7862838915470495
80+,Female,Yes,0.21371610845295055
80+,Male,No,0.7373681898066784
80+,Male,Yes,0.2626318101933216
