,Consum.Alcohol,Salud,Numero_rel
0,0.0,Excellent,0.15108154738988464
1,0.0,Fair,0.1564429424933339
2,0.0,Good,0.3311160542413483
3,0.0,Poor,0.05776332862785359
4,0.0,Very Good,0.3035961272475795
5,1.0,Excellent,0.1681943721730777
6,1.0,Fair,0.11175599407597166
7,1.0,Good,0.3332666213024857
8,1.0,Poor,0.02777888964495857
9,1.0,Very Good,0.3590041228035064
10,2.0,Excellent,0.18221884498480242
11,2.0,Fair,0.09513677811550152
12,2.0,Good,0.3152482269503546
13,2.0,Poor,0.02082066869300912
14,2.0,Very Good,0.38657548125633234
15,3.0,Excellent,0.18424949908528618
16,3.0,Fair,0.08485059674187646
17,3.0,Good,0.3096088509452043
18,3.0,Poor,0.018729854516943985
19,3.0,Very Good,0.40256119871068907
20,4.0,Excellent,0.21496127016733
21,4.0,Fair,0.079856207472076
22,4.0,Good,0.28745666966234434
23,4.0,Poor,0.019086746266101767
24,4.0,Very Good,0.3986391064321479
25,5.0,Excellent,0.21762627312409064
26,5.0,Fair,0.0764913739347329
27,5.0,Good,0.2872583662440241
28,5.0,Poor,0.012159634171689877
29,5.0,Very Good,0.4064643525254625
30,6.0,Excellent,0.20864127345082434
31,6.0,Fair,0.07106310403638431
32,6.0,Good,0.2717453098351336
33,6.0,Poor,0.01137009664582149
34,6.0,Very Good,0.43718021603183627
35,7.0,Excellent,0.2192846034214619
36,7.0,Fair,0.07153965785381027
37,7.0,Good,0.2795489891135303
38,7.0,Poor,0.01088646967340591
39,7.0,Very Good,0.4187402799377916
40,8.0,Excellent,0.24073522845661557
41,8.0,Fair,0.0650394403929156
42,8.0,Good,0.2574787914868284
43,8.0,Poor,0.01317160291710076
44,8.0,Very Good,0.4235749367465397
45,9.0,Excellent,0.24267782426778242
46,9.0,Fair,0.0794979079497908
47,9.0,Good,0.26778242677824265
48,9.0,Poor,0.008368200836820083
49,9.0,Very Good,0.401673640167364
50,10.0,Excellent,0.22167237660195407
51,10.0,Fair,0.06458571247303642
52,10.0,Good,0.26595609694201244
53,10.0,Poor,0.013450069788097957
54,10.0,Very Good,0.4343357441948991
55,11.0,Excellent,0.1951219512195122
56,11.0,Fair,0.04878048780487805
57,11.0,Good,0.34146341463414637
58,11.0,Poor,0.024390243902439025
59,11.0,Very Good,0.3902439024390244
60,12.0,Excellent,0.2308215297450425
