,Edad,Est.Salud,Sexo,Numero
0,18-24,Excellent,Mujer,0.14989293361884368
1,18-24,Fair,Mujer,0.1423982869379015
2,18-24,Good,Mujer,0.3501070663811563
3,18-24,Poor,Mujer,0.023554603854389723
4,18-24,Very Good,Mujer,0.3340471092077088
5,25-29,Excellent,Mujer,0.1676904176904177
6,25-29,Fair,Mujer,0.12653562653562653
7,25-29,Good,Mujer,0.3347665847665848
8,25-29,Poor,Mujer,0.0214987714987715
9,25-29,Very Good,Mujer,0.3495085995085995
10,30-34,Excellent,Mujer,0.16990462734016248
11,30-34,Fair,Mujer,0.11268103143765454
12,30-34,Good,Mujer,0.34157541504768635
13,30-34,Poor,Mujer,0.02719886965736489
14,30-34,Very Good,Mujer,0.34864005651713176
15,35-39,Excellent,Mujer,0.16618610747051113
16,35-39,Fair,Mujer,0.12083879423328965
17,35-39,Good,Mujer,0.327916120576671
18,35-39,Poor,Mujer,0.032503276539973786
19,35-39,Very Good,Mujer,0.35255570117955437
20,40-44,Excellent,Mujer,0.15893886966551327
21,40-44,Fair,Mujer,0.12341407151095732
22,40-44,Good,Mujer,0.33241061130334487
23,40-44,Poor,Mujer,0.04244521337946944
24,40-44,Very Good,Mujer,0.3427912341407151
25,45-49,Excellent,Mujer,0.13871126414166257
26,45-49,Fair,Mujer,0.15641908509591737
27,45-49,Good,Mujer,0.31972454500737824
28,45-49,Poor,Mujer,0.06369896704377767
29,45-49,Very Good,Mujer,0.32144613871126415
30,50-54,Excellent,Mujer,0.12583752093802344
31,50-54,Fair,Mujer,0.16917922948073702
32,50-54,Good,Mujer,0.31260469011725295
33,50-54,Poor,Mujer,0.0711892797319933
34,50-54,Very Good,Mujer,0.3211892797319933
35,55-59,Excellent,Mujer,0.11906730610219944
36,55-59,Fair,Mujer,0.1804200429965272
37,55-59,Good,Mujer,0.3190011575988093
38,55-59,Poor,Mujer,0.07855134777575658
39,55-59,Very Good,Mujer,0.30296014552670747
40,60-64,Excellent,Mujer,0.11498586239396795
41,60-64,Fair,Mujer,0.18015349400834793
42,60-64,Good,Mujer,0.32112562272788475
43,60-64,Poor,Mujer,0.07674700417395988
44,60-64,Very Good,Mujer,0.3069880166958395
45,65-69,Excellent,Mujer,0.11433351924149471
46,65-69,Fair,Mujer,0.16327384272169548
47,65-69,Good,Mujer,0.3197155605131065
48,65-69,Poor,Mujer,0.06385945343000558
49,65-69,Very Good,Mujer,0.3388176240936977
50,70-74,Excellent,Mujer,0.11089809762571892
51,70-74,Fair,Mujer,0.16148060758000296
52,70-74,Good,Mujer,0.3332841763751659
53,70-74,Poor,Mujer,0.05884087892641204
54,70-74,Very Good,Mujer,0.3354962394927002
55,75-79,Excellent,Mujer,0.10422245108135943
56,75-79,Fair,Mujer,0.16086508753861997
57,75-79,Good,Mujer,0.34376930998970134
58,75-79,Poor,Mujer,0.06282183316168898
59,75-79,Very Good,Mujer,0.32832131822863025
60,80+,Excellent,Mujer,0.09297912713472485
61,80+,Fair,Mujer,0.170988825637782
62,80+,Good,Mujer,0.35504954670040056
63,80+,Poor,Mujer,0.06915454353784524
64,80+,Very Good,Mujer,0.3118279569892473
