,Consum.Fruta,Salud,Numero_rel
0,0.0,Excellent,0.15432617304692187
1,0.0,Fair,0.1794071762870515
2,0.0,Good,0.3206528261130445
3,0.0,Poor,0.08520340813632546
4,0.0,Very Good,0.2604104164166567
5,1.0,Excellent,0.13223880597014925
6,1.0,Fair,0.18865671641791046
7,1.0,Good,0.3492537313432836
8,1.0,Poor,0.06656716417910448
9,1.0,Very Good,0.2632835820895522
10,2.0,Excellent,0.13328729281767956
11,2.0,Fair,0.17679558011049723
12,2.0,Good,0.33995165745856354
13,2.0,Poor,0.05973756906077348
14,2.0,Very Good,0.2902279005524862
15,3.0,Excellent,0.12039629549860004
16,3.0,Fair,0.1647641611027353
17,3.0,Good,0.35601981477493
18,3.0,Poor,0.061813482662071935
19,3.0,Very Good,0.2970062459616627
20,4.0,Excellent,0.14261708190253525
21,4.0,Fair,0.15058084313582232
22,4.0,Good,0.3445605318915759
23,4.0,Poor,0.048951559874333306
24,4.0,Very Good,0.3132899831957332
25,5.0,Excellent,0.12550296991760873
26,5.0,Fair,0.14198122245640926
27,5.0,Good,0.34872580954205784
28,5.0,Poor,0.048668327265759724
29,5.0,Very Good,0.3351216708181644
30,6.0,Excellent,0.11862396204033215
31,6.0,Fair,0.16785290628706998
32,6.0,Good,0.3582443653618031
33,6.0,Poor,0.051601423487544484
34,6.0,Very Good,0.3036773428232503
35,7.0,Excellent,0.1305699481865285
36,7.0,Fair,0.15751295336787566
37,7.0,Good,0.33678756476683935
38,7.0,Poor,0.04766839378238342
39,7.0,Very Good,0.32746113989637304
40,8.0,Excellent,0.14412675613806725
41,8.0,Fair,0.13694510525607073
42,8.0,Good,0.33919834822029715
43,8.0,Poor,0.04174334575160465
44,8.0,Very Good,0.3379864446339602
45,9.0,Excellent,0.17647058823529413
46,9.0,Fair,0.17647058823529413
47,9.0,Good,0.38235294117647056
48,9.0,Poor,0.049019607843137254
49,9.0,Very Good,0.21568627450980393
50,10.0,Excellent,0.1277119212704093
51,10.0,Fair,0.1476179825542384
52,10.0,Good,0.35070454037128157
53,10.0,Poor,0.04518004920599419
54,10.0,Very Good,0.3287855065980765
55,11.0,Excellent,0.19047619047619047
56,11.0,Fair,0.047619047619047616
57,11.0,Good,0.42857142857142855
58,11.0,Poor,0.047619047619047616
59,11.0,Very Good,0.2857142857142857
60,12.0,Excellent,0.15635017680690041
61,12.0,Fair,0.12257510162265772
62,12.0,Good,0.3324630688390231
63,12.0,Poor,0.0339072672593278
64,12.0,Very Good,0.35470438547209093
65,13.0,Excellent,0.08333333333333333
66,13.0,Fair,0.1388888888888889
67,13.0,Good,0.4166666666666667
68,13.0,Very Good,0.3611111111111111
69,14.0,Excellent,0.13191489361702127
70,14.0,Fair,0.1702127659574468
71,14.0,Good,0.37446808510638296
72,14.0,Poor,0.0425531914893617
73,14.0,Very Good,0.28085106382978725
74,15.0,Excellent,0.14436792916871619
75,15.0,Fair,0.13748155435317266
76,15.0,Good,0.3391539596655189
77,15.0,Poor,0.04672897196261682
78,15.0,Very Good,0.33226758484997543
79,16.0,Excellent,0.16876863104792478
80,16.0,Fair,0.10502178399449667
81,16.0,Good,0.3163265306122449
82,16.0,Poor,0.028835129557440956
83,16.0,Very Good,0.3810479247878927
84,17.0,Excellent,0.16666666666666666
85,17.0,Fair,0.14814814814814814
86,17.0,Good,0.2222222222222222
87,17.0,Poor,0.09259259259259259
88,17.0,Very Good,0.37037037037037035
89,18.0,Excellent,0.19767441860465115
90,18.0,Fair,0.1744186046511628
91,18.0,Good,0.3023255813953488
92,18.0,Poor,0.046511627906976744
93,18.0,Very Good,0.27906976744186046
94,19.0,Good,0.5714285714285714
95,19.0,Poor,0.14285714285714285
96,19.0,Very Good,0.2857142857142857
97,20.0,Excellent,0.17624170290684368
98,20.0,Fair,0.09824902723735408
99,20.0,Good,0.3058480201419089
100,20.0,Poor,0.02643625543602655
101,20.0,Very Good,0.3932249942778668
102,21.0,Excellent,0.14285714285714285
103,21.0,Fair,0.12698412698412698
104,21.0,Good,0.30158730158730157
105,21.0,Poor,0.1111111111111111
106,21.0,Very Good,0.31746031746031744
107,22.0,Excellent,0.19230769230769232
108,22.0,Fair,0.09615384615384616
109,22.0,Good,0.25
110,22.0,Poor,0.057692307692307696
111,22.0,Very Good,0.40384615384615385
112,23.0,Excellent,0.15789473684210525
113,23.0,Fair,0.05263157894736842
114,23.0,Good,0.3684210526315789
115,23.0,Very Good,0.42105263157894735
