,Procesados,Salud,Numero_rel
0,0.0,Excellent,0.20102638301720435
1,0.0,Fair,0.13508014378405264
2,0.0,Good,0.28603079149051613
3,0.0,Poor,0.05283385707503448
4,0.0,Very Good,0.32502882463319244
5,1.0,Excellent,0.2107711875753113
6,1.0,Fair,0.10888338465658054
7,1.0,Good,0.28594858749497926
8,1.0,Poor,0.03932922747355737
9,1.0,Very Good,0.35506761279957155
10,2.0,Excellent,0.19332317495497991
11,2.0,Fair,0.10918409752043219
12,2.0,Good,0.2913977005125364
13,2.0,Poor,0.03194348247679734
14,2.0,Very Good,0.3741515445352542
15,3.0,Excellent,0.17977454877174692
16,3.0,Fair,0.10790382485176256
17,3.0,Good,0.2997980061249756
18,3.0,Poor,0.03225386068938555
19,3.0,Very Good,0.3802697595621294
20,4.0,Excellent,0.1845856736396739
21,4.0,Fair,0.10462459274984152
22,4.0,Good,0.3066796397033892
23,4.0,Poor,0.030236020815827106
24,4.0,Very Good,0.37387407309126824
25,5.0,Excellent,0.17191977077363896
26,5.0,Fair,0.10769686789842901
27,5.0,Good,0.3111352633139018
28,5.0,Poor,0.03082699338010078
29,5.0,Very Good,0.3784211046339295
30,6.0,Excellent,0.1421454666223846
31,6.0,Fair,0.12255064762537363
32,6.0,Good,0.33909000332115574
33,6.0,Poor,0.037529060112919295
34,6.0,Very Good,0.35868482231816673
35,7.0,Excellent,0.16560509554140126
36,7.0,Fair,0.11411889596602973
37,7.0,Good,0.31157112526539277
38,7.0,Poor,0.03503184713375796
39,7.0,Very Good,0.37367303609341823
40,8.0,Excellent,0.16188813011520617
41,8.0,Fair,0.11098368346973883
42,8.0,Good,0.32669551165094096
43,8.0,Poor,0.03187718292237919
44,8.0,Very Good,0.36855549184173486
45,9.0,Excellent,0.16551724137931034
46,9.0,Fair,0.14482758620689656
47,9.0,Good,0.32413793103448274
48,9.0,Poor,0.10344827586206896
49,9.0,Very Good,0.2620689655172414
50,10.0,Excellent,0.14929129686051132
51,10.0,Fair,0.12491720757716254
52,10.0,Good,0.3266657835474897
53,10.0,Poor,0.035633858789243605
54,10.0,Very Good,0.3634918532255928
55,11.0,Excellent,0.175
56,11.0,Fair,0.025
57,11.0,Good,0.3
58,11.0,Poor,0.075
59,11.0,Very Good,0.425
60,12.0,Excellent,0.16030082041932545
61,12.0,Fair,0.11841385597082954
62,12.0,Good,0.33938012762078396
63,12.0,Poor,0.03340929808568824
64,12.0,Very Good,0.3484958979033728
65,13.0,Excellent,0.16
66,13.0,Fair,0.18
67,13.0,Good,0.38
68,13.0,Poor,0.04
69,13.0,Very Good,0.24
70,14.0,Excellent,0.14122137404580154
71,14.0,Fair,0.13740458015267176
72,14.0,Good,0.3435114503816794
73,14.0,Poor,0.03816793893129771
74,14.0,Very Good,0.33969465648854963
75,15.0,Excellent,0.14432989690721648
76,15.0,Fair,0.13204650142575125
77,15.0,Good,0.34152226365431015
78,15.0,Poor,0.03794691818381224
79,15.0,Very Good,0.3441544198289099
80,16.0,Excellent,0.14854441403334162
81,16.0,Fair,0.12341378452351331
82,16.0,Good,0.342746951978104
