,Consum.Veg.Verdes,Salud,Numero_rel
0,0.0,Excellent,0.137827855439712
1,0.0,Fair,0.1863107204637898
2,0.0,Good,0.32801907522558327
3,0.0,Poor,0.08046191967833934
4,0.0,Very Good,0.2673804291925756
5,1.0,Excellent,0.12959699212783457
6,1.0,Fair,0.17659499471272472
7,1.0,Good,0.34085301374691573
8,1.0,Poor,0.06779461872870403
9,1.0,Very Good,0.28516038068382094
10,2.0,Excellent,0.12537444933920705
11,2.0,Fair,0.16176211453744493
12,2.0,Good,0.3439647577092511
13,2.0,Poor,0.05383259911894273
14,2.0,Very Good,0.3150660792951542
15,3.0,Excellent,0.12954650982819996
16,3.0,Fair,0.15523912707011298
17,3.0,Good,0.3511840272403653
18,3.0,Poor,0.04952793685188051
19,3.0,Very Good,0.31450239900944127
20,4.0,Excellent,0.14861173725105412
21,4.0,Fair,0.13373465220504388
22,4.0,Good,0.3395210692407648
23,4.0,Poor,0.04158158529793948
24,4.0,Very Good,0.3365509560051977
25,5.0,Excellent,0.14392851444072124
26,5.0,Fair,0.1247805967767672
27,5.0,Good,0.33907770863251957
28,5.0,Poor,0.03957236317217169
29,5.0,Very Good,0.35264081697782035
30,6.0,Excellent,0.11721132897603485
31,6.0,Fair,0.13333333333333333
32,6.0,Good,0.3464052287581699
33,6.0,Poor,0.04008714596949891
34,6.0,Very Good,0.362962962962963
35,7.0,Excellent,0.14016172506738545
36,7.0,Fair,0.13005390835579514
37,7.0,Good,0.3470350404312669
38,7.0,Poor,0.028975741239892182
39,7.0,Very Good,0.35377358490566035
40,8.0,Excellent,0.1579260581715391
41,8.0,Fair,0.12021126236703117
42,8.0,Good,0.3256961491730517
43,8.0,Poor,0.03451610503607826
44,8.0,Very Good,0.36165042525229985
45,9.0,Excellent,0.13513513513513514
46,9.0,Fair,0.1554054054054054
47,9.0,Good,0.3108108108108108
48,9.0,Poor,0.02702702702702703
49,9.0,Very Good,0.3716216216216216
50,10.0,Excellent,0.15334186120882634
51,10.0,Fair,0.11880396546210426
52,10.0,Good,0.33146786056923566
53,10.0,Poor,0.03229932842980492
54,10.0,Very Good,0.3640869843300288
55,11.0,Excellent,0.16129032258064516
56,11.0,Fair,0.16129032258064516
57,11.0,Good,0.25806451612903225
58,11.0,Very Good,0.41935483870967744
59,12.0,Excellent,0.17899425903427904
60,12.0,Fair,0.1029324185902475
61,12.0,Good,0.30927368446127823
62,12.0,Poor,0.0292289001643679
63,12.0,Very Good,0.3795707377498273
64,13.0,Excellent,0.14814814814814814
65,13.0,Fair,0.1111111111111111
66,13.0,Good,0.35185185185185186
67,13.0,Poor,0.037037037037037035
68,13.0,Very Good,0.35185185185185186
69,14.0,Excellent,0.18133333333333335
70,14.0,Fair,0.144
71,14.0,Good,0.3333333333333333
72,14.0,Poor,0.04
73,14.0,Very Good,0.30133333333333334
74,15.0,Excellent,0.16952299343044844
75,15.0,Fair,0.11225364181662383
76,15.0,Good,0.31148243359040273
77,15.0,Poor,0.033990288489003144
78,15.0,Very Good,0.37275064267352187
79,16.0,Excellent,0.18964778472876853
80,16.0,Fair,0.09388122375524895
81,16.0,Good,0.2916273888079527
82,16.0,Poor,0.02373810952095295
83,16.0,Very Good,0.4011054931870769
84,17.0,Excellent,0.14444444444444443
85,17.0,Fair,0.08888888888888889
86,17.0,Good,0.36666666666666664
87,17.0,Poor,0.05555555555555555
88,17.0,Very Good,0.34444444444444444
89,18.0,Excellent,0.14705882352941177
90,18.0,Fair,0.1
91,18.0,Good,0.3235294117647059
92,18.0,Poor,0.041176470588235294
93,18.0,Very Good,0.38823529411764707
94,19.0,Excellent,0.2727272727272727
95,19.0,Fair,0.09090909090909091
96,19.0,Good,0.18181818181818182
97,19.0,Very Good,0.45454545454545453
98,20.0,Excellent,0.2088500563697858
99,20.0,Fair,0.07985719654265314
100,20.0,Good,0.2800638857572341
101,20.0,Poor,0.0212326193160466
102,20.0,Very Good,0.40999624201428037
103,21.0,Excellent,0.16279069767441862
104,21.0,Fair,0.13953488372093023
105,21.0,Good,0.27906976744186046
106,21.0,Poor,0.03875968992248062
107,21.0,Very Good,0.3798449612403101
108,22.0,Excellent,0.20192307692307693
109,22.0,Fair,0.10576923076923077
110,22.0,Good,0.2692307692307692
111,22.0,Poor,0.009615384615384616
112,22.0,Very Good,0.41346153846153844
113,23.0,Excellent,0.3050847457627119
114,23.0,Fair,0.06779661016949153
115,23.0,Good,0.288135593220339
116,23.0,Very Good,0.3389830508474576
117,24.0,Excellent,0.2223816355810617
118,24.0,Fair,0.08142037302725968
119,24.0,Good,0.2661406025824964
120,24.0,Poor,0.01757532281205165
121,24.0,Very Good,0.41248206599713055
122,25.0,Excellent,0.21234119782214156
123,25.0,Fair,0.10027223230490018
124,25.0,Good,0.25
125,25.0,Poor,0.019963702359346643
126,25.0,Very Good,0.41742286751361163
127,26.0,Excellent,0.26666666666666666
128,26.0,Fair,0.08333333333333333
129,26.0,Good,0.26666666666666666
130,26.0,Very Good,0.38333333333333336
131,27.0,Excellent,0.22535211267605634
132,27.0,Fair,0.15492957746478872
133,27.0,Good,0.2535211267605634
134,27.0,Poor,0.056338028169014086
135,27.0,Very Good,0.30985915492957744
136,28.0,Excellent,0.24682598954443616
137,28.0,Fair,0.09185959671396565
138,28.0,Good,0.27333831217326365
139,28.0,Poor,0.035474234503360715
140,28.0,Very Good,0.3525018670649739
141,29.0,Excellent,0.19047619047619047
142,29.0,Fair,0.047619047619047616
143,29.0,Good,0.2857142857142857
144,29.0,Poor,0.07142857142857142
145,29.0,Very Good,0.40476190476190477
146,30.0,Excellent,0.23925960673937688
147,30.0,Fair,0.0889331926038857
148,30.0,Good,0.2760056291779055
149,30.0,Poor,0.02949454673390407
150,30.0,Very Good,0.3663070247449279
151,31.0,Excellent,0.34615384615384615
152,31.0,Fair,0.07692307692307693
153,31.0,Good,0.15384615384615385
154,31.0,Very Good,0.4230769230769231
155,32.0,Excellent,0.22641509433962265
156,32.0,Fair,0.08490566037735849
157,32.0,Good,0.22641509433962265
158,32.0,Poor,0.018867924528301886
159,32.0,Very Good,0.44339622641509435
160,33.0,Excellent,0.5714285714285714
161,33.0,Fair,0.14285714285714285
162,33.0,Good,0.14285714285714285
163,33.0,Very Good,0.14285714285714285
164,34.0,Good,1.0
165,35.0,Excellent,0.3333333333333333
166,35.0,Good,0.06666666666666667
167,35.0,Poor,0.06666666666666667
168,35.0,Very Good,0.5333333333333333
169,36.0,Excellent,0.14814814814814814
170,36.0,Fair,0.037037037037037035
171,36.0,Good,0.25925925925925924
172,36.0,Very Good,0.5555555555555556
173,37.0,Excellent,1.0
174,39.0,Excellent,0.5
175,39.0,Very Good,0.5
176,40.0,Excellent,0.25026178010471206
177,40.0,Fair,0.09424083769633508
178,40.0,Good,0.27015706806282724
179,40.0,Poor,0.033507853403141365
180,40.0,Very Good,0.3518324607329843
181,44.0,Excellent,0.5
182,44.0,Fair,0.25
183,44.0,Very Good,0.25
184,45.0,Excellent,0.21739130434782608
185,45.0,Fair,0.08695652173913043
186,45.0,Good,0.1956521739130435
187,45.0,Poor,0.043478260869565216
188,45.0,Very Good,0.45652173913043476
189,48.0,Excellent,0.20930232558139536
190,48.0,Good,0.32558139534883723
191,48.0,Poor,0.023255813953488372
192,48.0,Very Good,0.4418604651162791
193,50.0,Excellent,0.38235294117647056
194,50.0,Fair,0.11764705882352941
195,50.0,Good,0.08823529411764706
196,50.0,Very Good,0.4117647058823529
197,52.0,Excellent,0.2
198,52.0,Fair,0.2
199,52.0,Good,0.2
200,52.0,Very Good,0.4
201,53.0,Fair,1.0
202,55.0,Fair,0.5
203,55.0,Poor,0.5
204,56.0,Excellent,0.32727272727272727
205,56.0,Fair,0.07272727272727272
206,56.0,Good,0.2
207,56.0,Poor,0.01818181818181818
208,56.0,Very Good,0.38181818181818183
209,60.0,Excellent,0.27512505684402
210,60.0,Fair,0.08753979081400637
211,60.0,Good,0.25306957708049116
212,60.0,Poor,0.02444292860391087
213,60.0,Very Good,0.35982264665757163
214,61.0,Good,1.0
215,64.0,Very Good,1.0
216,65.0,Excellent,0.25
217,65.0,Fair,0.25
218,65.0,Good,0.25
219,65.0,Very Good,0.25
220,68.0,Good,1.0
221,70.0,Excellent,0.5
222,70.0,Very Good,0.5
223,75.0,Excellent,0.42857142857142855
224,75.0,Good,0.2857142857142857
225,75.0,Very Good,0.2857142857142857
226,76.0,Excellent,0.3333333333333333
227,76.0,Fair,0.3333333333333333
228,76.0,Good,0.3333333333333333
229,77.0,Fair,1.0
230,80.0,Excellent,0.136986301369863
231,80.0,Fair,0.1232876712328767
232,80.0,Good,0.3013698630136986
233,80.0,Poor,0.0410958904109589
234,80.0,Very Good,0.3972602739726027
235,84.0,Excellent,0.42857142857142855
236,84.0,Good,0.42857142857142855
237,84.0,Very Good,0.14285714285714285
238,85.0,Good,1.0
239,88.0,Fair,0.16666666666666666
240,88.0,Good,0.3333333333333333
241,88.0,Very Good,0.5
242,90.0,Excellent,0.2808641975308642
243,90.0,Fair,0.09722222222222222
244,90.0,Good,0.2587448559670782
245,90.0,Poor,0.03137860082304527
246,90.0,Very Good,0.3317901234567901
247,92.0,Fair,0.5
248,92.0,Good,0.5
249,93.0,Fair,1.0
250,95.0,Excellent,0.5
251,95.0,Good,0.5
252,96.0,Excellent,0.21621621621621623
253,96.0,Fair,0.05405405405405406
254,96.0,Good,0.2972972972972973
255,96.0,Poor,0.02702702702702703
256,96.0,Very Good,0.40540540540540543
257,97.0,Good,1.0
258,98.0,Very Good,1.0
259,99.0,Excellent,0.2857142857142857
260,99.0,Fair,0.05952380952380952
261,99.0,Good,0.26785714285714285
262,99.0,Poor,0.023809523809523808
263,99.0,Very Good,0.3630952380952381
264,100.0,Excellent,0.2222222222222222
265,100.0,Fair,0.1111111111111111
266,100.0,Good,0.3333333333333333
267,100.0,Very Good,0.3333333333333333
268,104.0,Excellent,0.5
269,104.0,Very Good,0.5
270,112.0,Excellent,0.25
271,112.0,Very Good,0.75
272,120.0,Excellent,0.22926829268292684
273,120.0,Fair,0.08943089430894309
274,120.0,Good,0.2813008130081301
275,120.0,Poor,0.030894308943089432
276,120.0,Very Good,0.36910569105691055
277,124.0,Good,1.0
278,128.0,Good,1.0
